HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457263.92343,2015-08-29.4247341,be,1.66,15.244,11.768,0.009,75.278,0.638,V
2457263.92473,2015-08-29.4260300,be,1.54,15.227,11.753,0.009,76.376,0.644,V
2457263.92603,2015-08-29.4273325,be,1.61,15.252,11.754,0.009,76.274,0.634,V
2457265.92389,2015-08-31.4251942,bh,1.69,15.037,11.723,0.011,78.527,0.799,V
2457265.92519,2015-08-31.4264950,bh,1.91,15.088,11.711,0.011,79.324,0.767,V
2457265.92648,2015-08-31.4277853,bh,1.95,14.890,11.739,0.013,77.353,0.901,V
2457266.90865,2015-09-01.4099577,bh,1.45,15.322,11.718,0.009,78.830,0.617,V
2457266.90994,2015-09-01.4112446,bh,1.42,15.312,11.719,0.008,78.772,0.605,V
2457266.91122,2015-09-01.4125315,bh,1.46,15.356,11.707,0.008,79.653,0.583,V
2457267.90000,2015-09-02.4013052,be,1.57,15.169,11.780,0.010,74.508,0.683,V
2457267.90093,2015-09-02.4022427,be,1.51,15.092,11.763,0.010,75.598,0.735,V
2457267.90189,2015-09-02.4031967,be,1.56,15.144,11.791,0.010,73.720,0.701,V
2457268.90885,2015-09-03.4101635,bh,1.41,15.173,11.781,0.011,74.401,0.698,V
2457268.90979,2015-09-03.4110987,bh,1.36,15.170,11.765,0.009,75.533,0.687,V
2457268.91074,2015-09-03.4120479,bh,1.32,15.172,11.746,0.010,76.810,0.699,V
2457269.89773,2015-09-04.3990423,bh,1.35,15.229,11.782,0.009,74.271,0.652,V
2457269.89868,2015-09-04.3999969,bh,1.37,15.236,11.769,0.010,75.226,0.655,V
2457269.89965,2015-09-04.4009583,bh,1.38,15.240,11.802,0.009,72.994,0.639,V
2457276.90888,2015-09-11.4101820,be,1.64,15.165,11.768,0.010,75.329,0.677,V
2457276.90980,2015-09-11.4111130,be,1.61,15.165,11.753,0.009,76.268,0.689,V
2457276.91076,2015-09-11.4120671,be,1.70,15.128,11.765,0.010,75.457,0.713,V
2457277.90640,2015-09-12.4077003,be,1.70,15.191,11.771,0.009,75.019,0.661,V
2457277.90734,2015-09-12.4086459,be,1.65,15.159,11.782,0.011,74.326,0.699,V
2457277.90828,2015-09-12.4095818,be,1.71,15.192,11.777,0.009,74.724,0.673,V
2457282.88630,2015-09-17.3875898,be,1.46,15.233,11.784,0.009,74.166,0.644,V
2457282.88724,2015-09-17.3885325,be,1.47,15.221,11.776,0.009,74.752,0.649,V
